date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-01-02,8.04,10.6,-0.20 (-1.85 %),1100,11480000,0,0,10.8,10.3,10.6,10.3,8.17
2018-01-03,8.02,10.4,0.00 (0.00 %),0,0,0,0,10.4,10.4,10.4,10.4,8.02
2018-01-04,8.02,10.4,0.00 (0.00 %),0,0,0,0,10.4,10.4,10.4,10.4,8.02
2018-01-05,7.86,10.9,0.50 (4.81 %),200,2040000,0,0,10.4,9.5,10.9,9.5,8.4
2018-01-08,7.86,10.2,0.00 (0.00 %),0,0,0,0,10.2,10.2,10.2,10.2,7.86
2018-01-09,7.86,10.2,0.00 (0.00 %),0,0,0,0,10.2,10.2,10.2,10.2,7.86
2018-01-10,7.86,10.2,0.00 (0.00 %),0,0,0,0,10.2,10.2,10.2,10.2,7.86
2018-01-11,7.92,10.3,0.10 (0.98 %),3600,37000000,0,0,10.2,10.3,10.3,10.2,7.94
2018-01-12,7.94,10.3,0.00 (0.00 %),500,5150000,0,0,10.3,10.3,10.3,10.3,7.94
2018-01-15,7.94,10.3,0.00 (0.00 %),0,0,0,0,10.3,10.3,10.3,10.3,7.94
2018-01-16,7.94,10.3,0.00 (0.00 %),0,0,0,0,10.3,10.3,10.3,10.3,7.94
2018-01-17,8.4,10.9,0.60 (5.83 %),400,4360000,0,0,10.3,10.9,10.9,10.9,8.4
2018-01-18,8.09,10.5,-0.40 (-3.67 %),1000,10500000,0,0,10.9,10.5,10.5,10.5,8.09
2018-01-19,8.09,10.5,0.00 (0.00 %),200,2100000,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-22,8.09,10.5,0.00 (0.00 %),0,0,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-23,8.09,10.5,0.00 (0.00 %),400,4200000,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-24,8.09,10.5,0.00 (0.00 %),1100,11550000,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-25,8.09,10.5,0.00 (0.00 %),0,0,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-26,8.09,10.5,0.00 (0.00 %),0,0,0,0,10.5,10.5,10.5,10.5,8.09
2018-01-29,7.93,10.5,0.00 (0.00 %),9000,92540000,0,0,10.5,10.1,10.5,10,8.09
2018-01-30,7.94,10.3,0.00 (0.00 %),0,0,0,0,10.3,10.3,10.3,10.3,7.94
2018-01-31,7.94,10.3,0.00 (0.00 %),0,0,0,0,10.3,10.3,10.3,10.3,7.94
2018-02-01,8.48,11,0.70 (6.80 %),100,1100000,0,0,10.3,11,11,11,8.48
2018-02-02,8.48,11,0.00 (0.00 %),0,0,0,0,11,11,11,11,8.48
2018-02-05,7.79,10.1,-0.90 (-8.18 %),1000,10100000,0,0,11,10.1,10.1,10.1,7.79
2018-02-06,7.79,10.1,0.00 (0.00 %),0,0,0,0,10.1,10.1,10.1,10.1,7.79
2018-02-07,7.79,10.1,0.00 (0.00 %),0,0,0,0,10.1,10.1,10.1,10.1,7.79
2018-02-08,7.79,10.1,0.00 (0.00 %),40,344000,0,0,10.1,10.1,10.1,10.1,7.79
2018-02-09,8.86,11.5,1.40 (13.86 %),100,1150000,0,0,10.1,11.5,11.5,11.5,8.86
2018-02-12,8.86,11.5,0.00 (0.00 %),0,0,0,0,11.5,11.5,11.5,11.5,8.86
2018-02-13,8.32,10.8,-0.70 (-6.09 %),2000,21600000,0,0,11.5,10.8,10.8,10.8,8.32
2018-02-21,8.56,11.1,0.30 (2.78 %),200,2220000,0,0,10.8,11.1,11.1,11.1,8.56
2018-02-22,8.32,10.8,-0.30 (-2.70 %),10040,108508000,0,0,11.1,10.8,10.8,10.8,8.32
2018-02-23,8.32,10.8,0.00 (0.00 %),2000,21600000,0,0,10.8,10.8,10.8,10.8,8.32
2018-02-26,8.4,10.9,0.10 (0.93 %),300,3270000,0,0,10.8,10.9,10.9,10.9,8.4
2018-02-27,8.4,10.9,0.00 (0.00 %),0,0,0,0,10.9,10.9,10.9,10.9,8.4
2018-02-28,8.35,10.9,0.00 (0.00 %),3300,35740000,0,0,10.9,10.8,10.9,10.8,8.4
2018-03-01,8.6,11,0.20 (1.85 %),1500,16740000,0,0,10.8,12.3,12.3,10.9,8.48
2018-03-02,8.77,11.5,0.30 (2.68 %),3300,37560000,0,0,11.2,11.2,11.5,11.2,8.86
